n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
1,0,5,4,1,1,0,3,0,0,7,2,5,1,0,8,1,1,0,1,2,1,1,0,1,0,0,5,1,1,1,0,2,1,13.0,10.167,0.793
8,14,9,5,2,8,1,28,0,2,15,1,21,2,1,13,0,1,1,1,3,1,1,1,1,0,1,7,1,1,1,1,2,0,18.857,6.929,0.554
6,4,3,6,2,2,0,8,1,1,11,8,5,3,0,8,0,1,1,1,1,1,1,0,1,1,1,5,1,1,1,0,1,0,13.6,6.6,0.514
4,2,0,4,2,2,0,6,0,2,3,2,7,0,0,1,0,1,1,0,2,1,1,0,1,0,2,3,1,1,0,0,1,0,12.0,5.667,0.589
12,14,5,12,7,10,0,21,1,3,24,3,16,2,0,23,0,1,1,1,3,1,1,0,1,1,2,7,1,1,1,0,2,0,30.6,17.6,0.572
5,11,2,6,3,6,0,18,2,2,7,3,5,1,0,7,2,1,1,1,2,1,1,0,1,1,1,5,1,1,1,0,1,1,20.0,6.75,0.474
2,5,5,5,0,6,1,10,1,4,10,12,5,3,0,9,7,1,1,1,3,0,1,1,1,1,2,4,1,1,1,0,2,1,21.25,12.893,0.614
3,6,5,6,1,8,2,12,1,3,10,0,9,2,0,8,1,1,1,1,4,1,1,1,1,1,2,4,0,1,1,0,1,1,12.833,8.625,0.725
24,17,11,12,21,16,0,41,2,5,27,6,30,2,0,30,2,1,1,1,3,1,1,0,1,1,2,10,1,1,1,0,4,1,12.35,6.2,0.63
0,1,2,1,0,0,0,0,1,1,1,0,2,0,0,2,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,11.0,4.0,0.64
1,1,3,2,2,3,0,2,0,2,6,0,2,1,0,6,0,1,1,1,2,1,1,0,1,0,2,3,0,1,1,0,2,0,15.5,16.5,0.889
8,19,16,13,7,11,0,25,3,8,25,1,18,8,1,31,0,1,1,1,4,1,1,0,1,1,3,6,1,1,1,1,4,0,24.125,19.406,0.611
8,7,12,7,4,13,0,18,6,4,19,3,16,2,2,16,2,1,1,1,3,1,1,0,1,1,2,5,1,1,1,1,1,1,17.125,9.469,0.483
1,2,0,6,2,1,0,5,0,1,9,0,6,3,0,6,0,1,1,0,3,1,1,0,1,0,1,3,0,1,1,0,1,0,7.0,9.667,0.655
2,3,3,5,3,0,1,7,1,1,9,1,3,1,0,6,0,1,1,1,2,1,0,1,1,1,1,3,1,1,1,0,2,0,46.0,17.0,0.521
2,5,1,2,0,0,0,4,0,0,7,0,3,1,0,5,0,1,1,1,1,0,0,0,1,0,0,5,0,1,1,0,1,0,15.0,13.0,0.775
14,10,12,11,3,10,0,19,5,6,14,4,13,4,0,15,2,1,1,1,3,1,1,0,1,1,2,4,1,1,1,0,2,1,14.2,5.7,0.415
22,26,18,21,7,20,0,60,3,8,28,0,30,11,5,35,1,1,1,1,3,1,1,0,1,1,2,8,0,1,1,1,2,1,58.0,32.6,0.457
5,7,5,7,4,5,0,11,3,2,11,0,8,3,0,8,0,1,1,1,3,1,1,0,1,1,1,5,0,1,1,0,1,0,13.333,11.167,0.632
0,4,0,0,0,1,0,2,0,0,6,7,6,0,0,3,0,0,1,0,0,0,1,0,1,0,0,5,1,1,0,0,3,0,15.0,13.5,0.904
2,9,5,8,3,6,1,16,0,8,11,1,15,3,0,17,2,1,1,1,3,1,1,1,1,0,2,5,1,1,1,0,1,1,53.5,44.625,0.615
1,1,1,5,1,1,1,3,0,1,9,0,6,1,0,4,1,1,1,1,3,1,1,1,1,0,1,5,0,1,1,0,1,1,12.0,15.857,0.943
1,2,3,0,0,3,0,3,2,0,3,2,3,1,1,2,0,1,1,1,0,0,1,0,1,1,0,3,1,1,1,1,1,0,25.0,11.0,0.566
2,6,2,1,2,5,0,11,0,0,7,6,5,3,0,4,1,1,1,1,1,1,1,0,1,0,0,5,1,1,1,0,1,1,18.333,6.0,0.572
2,4,4,5,3,2,0,7,0,0,12,1,8,0,0,7,0,1,1,1,2,1,1,0,1,0,0,5,1,1,0,0,2,0,11.0,9.0,0.667
6,3,13,9,5,2,1,9,0,3,16,2,10,2,0,13,1,1,1,1,3,1,1,1,1,0,2,6,1,1,1,0,2,1,9.5,9.4,0.653
17,34,19,27,11,32,0,55,14,9,32,21,11,11,1,26,12,1,1,1,4,1,1,0,1,1,2,7,1,1,1,1,2,1,65.8,41.0,0.429
7,4,3,6,2,4,0,7,1,1,5,0,6,1,0,5,0,1,1,1,4,1,1,0,1,1,1,2,0,1,1,0,1,0,17.333,7.333,0.49
4,8,0,2,0,4,0,10,11,0,2,13,19,0,0,4,10,1,1,0,1,0,1,0,1,1,0,2,1,1,0,0,1,1,7.25,1.233,0.303
12,16,23,11,8,11,1,28,2,5,21,6,22,3,1,29,2,1,1,1,5,1,1,1,1,1,2,5,1,1,1,1,2,1,20.0,7.975,0.5
14,15,8,12,4,22,0,29,2,4,12,1,10,3,0,16,0,1,1,1,3,1,1,0,1,1,2,5,1,1,1,0,3,0,21.714,12.179,0.574
1,6,1,1,0,3,0,4,21,0,1,17,43,0,0,1,11,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,10.0,0.779,0.202
2,1,0,0,0,1,0,13,14,0,0,11,11,0,0,0,9,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,7.875,0.0,0.089
13,15,7,9,7,8,0,36,3,4,22,2,12,2,2,25,5,1,1,1,3,1,1,0,1,1,2,8,1,1,1,1,2,1,24.571,17.143,0.593
11,19,23,11,6,13,1,39,0,4,47,10,31,8,0,33,6,1,1,1,3,1,1,1,1,0,2,9,1,1,1,0,3,1,20.308,13.385,0.566
