n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
14,13,8,13,8,11,2,24,1,6,24,0,20,1,0,22,2,1,1,1,4,1,1,1,1,1,2,6,0,1,1,0,1,1,28.167,15.0,0.544
1,4,3,1,1,1,0,9,0,1,1,2,6,0,0,4,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,17.5,4.5,0.359
10,14,6,9,2,11,0,32,2,9,19,3,15,2,2,21,1,1,1,1,3,1,1,0,1,1,2,4,1,1,1,1,3,1,22.286,10.714,0.396
6,3,5,5,4,4,0,5,0,3,11,0,6,1,0,9,0,1,1,1,2,1,1,0,1,0,1,7,0,1,1,0,1,0,15.5,14.25,0.898
5,7,9,3,4,6,1,14,0,3,15,0,7,3,0,10,1,1,1,1,1,1,1,1,1,0,2,6,0,1,1,0,1,1,22.0,10.5,0.603
17,15,8,16,8,13,0,37,1,2,21,1,27,6,0,21,7,1,1,1,3,1,1,0,1,1,2,8,1,1,1,0,4,1,25.125,12.446,0.698
23,14,11,14,10,14,0,26,0,3,23,0,22,3,0,21,3,1,1,1,4,1,1,0,1,0,2,6,0,1,1,0,2,1,20.778,7.306,0.517
3,2,0,5,0,1,0,3,0,1,3,0,3,2,0,3,0,1,1,0,2,0,1,0,1,0,1,3,0,1,1,0,1,0,8.667,5.5,0.555
8,12,5,9,2,7,2,15,0,4,19,0,8,2,0,13,4,1,1,1,3,1,1,1,1,0,2,4,0,1,1,0,1,1,18.333,12.958,0.472
6,5,0,5,2,4,0,14,0,3,8,1,8,1,2,9,4,1,1,0,2,1,1,0,1,0,1,6,1,1,1,1,1,1,14.0,5.4,0.592
